Function Name,Self (ms),Duration (ms),Location
Identifier: any,4.001,4.001,src/app/[locale]/(admin)/sidebar.tsx:179:21
Identifier: any,3.957,3.957,src/components/poll/scheduled-event.tsx:94:15
update,3.937,3.937,src/trpc/routers/polls.ts:595:12
forwardRef,3.934,8.389,../../packages/ui/src/dropdown-menu.tsx:108:33
Identifier: FC<Readonly<Omit<Detailed,3.925,3.925,../../packages/emails/src/components/styled-components.tsx:68:11
forwardRef,3.919,4.746,../../packages/ui/src/radio-group.tsx:13:11
middleware,3.900,4.335,src/trpc/trpc.ts:124:21
Identifier: { email: string; name: st,3.892,3.892,src/app/api/stripe/checkout/route.ts:76:7
capture,3.881,3.881,src/app/[locale]/(admin)/settings/profile/profile-picture.tsx:160:7
all,3.880,11.393,src/auth/helpers/merge-user.ts:11:25
setValue,3.855,3.855,src/components/poll/mobile-poll.tsx:72:7
startsWith,3.843,3.843,src/app/[locale]/(admin)/sidebar.tsx:75:13
useMutation,3.842,6.292,src/app/[locale]/(admin)/settings/profile/profile-email-address.tsx:31:35
useCallback,3.842,3.842,src/components/forms/poll-options-form/month-calendar/time-picker.tsx:28:40
object,3.839,3.894,src/app/api/stripe/checkout/route.ts:10:20
capture,3.820,3.820,src/app/[locale]/(admin)/sidebar.tsx:105:9
map,3.782,3.782,src/components/forms/poll-options-form/month-calendar/month-calendar.tsx:348:27
t,3.773,3.773,src/components/poll-context.tsx:137:13
Identifier: string,3.772,3.772,../../packages/emails/src/components/email-layout.tsx:40:7
Identifier: any,3.756,3.756,src/components/participant-dropdown.tsx:80:13
Identifier: string | 3002,3.746,3.746,playwright.config.ts:11:16
Identifier: string,3.739,3.739,src/components/table/table-column-header.tsx:28:7
t,3.724,3.724,src/app/[locale]/not-found.tsx:15:9
Identifier: TemplateComponent<T>,3.720,3.720,../../packages/emails/src/send-email.tsx:98:24
"Identifier: ({ href, children, target",3.712,3.712,src/app/[locale]/(admin)/sidebar.tsx:152:13
requiredString,3.704,4.475,src/components/participant-dropdown.tsx:248:13
reset,3.700,3.700,src/components/settings/date-time-preferences.tsx:120:9
router,3.676,14.977,src/trpc/routers/auth.ts:16:28
useState,3.668,6.834,src/app/[locale]/(auth)/auth/login/components/login-page.tsx:17:25
forwardRef,3.651,3.651,../../packages/ui/src/dialog.tsx:109:20
"Identifier: ({ size, className, src, ",3.645,3.645,src/app/[locale]/(admin)/sidebar.tsx:171:19
NodemailerProvider,3.637,14.941,src/auth/providers/email.ts:14:5
cn,3.634,3.634,src/components/poll-status.tsx:15:15
$transaction,3.629,5.200,src/trpc/routers/polls/participants.ts:261:53
map,3.604,3.604,src/components/forms/poll-options-form/month-calendar/month-calendar.tsx:136:21
Identifier: any,3.592,3.592,src/app/[locale]/(admin)/settings/billing/page.tsx:176:23
forwardRef,3.585,5.174,../../packages/ui/src/dropdown-menu.tsx:38:55
t,3.563,3.563,src/components/poll/mobile-poll.tsx:117:16
map,3.526,3.526,src/app/[locale]/(admin)/events/event-list.tsx:44:21
map,3.526,3.526,src/components/poll/scheduled-event.tsx:88:9
Identifier: (<Props extends {}>(Compo,3.516,33.177,src/components/pay-wall-dialog.tsx:38:13
Identifier: ForwardRefExoticComponent,3.515,6.478,src/features/quick-create/quick-create-button.tsx:13:7
create,3.486,8.857,src/trpc/routers/polls.ts:843:28
Identifier: ReactNode,3.478,3.478,src/components/settings/settings.tsx:19:7
init,3.477,15.003,sentry.client.config.ts:7:81
addEventListener,3.477,3.477,src/components/poll/desktop-poll/participant-row-form.tsx:47:6
literal,3.449,3.449,src/components/new-participant-modal.tsx:22:16
Identifier: any,3.444,3.444,src/app/[locale]/(admin)/settings/billing/page.tsx:214:19
Identifier: any,3.418,3.418,src/app/[locale]/(admin)/settings/billing/page.tsx:108:34
map,3.381,3.775,src/app/[locale]/(admin)/polls/user-polls.tsx:219:47
toString,3.341,3.341,src/app/[locale]/(admin)/events/user-scheduled-events.tsx:18:11
forwardRef,3.327,8.948,../../packages/ui/src/dropdown-menu.tsx:94:45
router,3.309,27.716,src/trpc/routers/polls/participants.ts:77:36
Identifier: { email: string; name: st,3.304,7.197,src/app/api/stripe/checkout/route.ts:76:7
"Identifier: (props: { i18nKey: ""menu""",3.302,3.302,src/components/poll/desktop-poll/participant-row-form.tsx:87:17
import,3.294,4.708,src/utils/dayjs.tsx:203:5
Identifier: any,3.294,3.294,src/app/[locale]/(admin)/app-card.tsx:25:9
Identifier: ForwardRefExoticComponent,3.291,3.291,src/components/poll/truncated-linkify.tsx:30:9
Identifier: any,3.283,3.283,src/components/poll/mobile-poll.tsx:90:21
Identifier: FC<Readonly<Omit<Detailed,3.278,4.713,../../packages/emails/src/components/email-layout.tsx:43:11
useEffect,3.265,6.456,src/app/[locale]/(admin)/settings/profile/profile-email-address.tsx:47:19
